     0.806     1.595     0.981     1.484    -0.138    -0.954    -0.034     0.337     0.094    -0.563     0.482     0.352    -0.233     0.483     0.349    -0.244     0.000     0.009     0.001     0.000     0.000     0.001     0.989     7.000     1.438     71
     0.806    -0.344    -0.052    -0.533    -1.346    -0.954    -1.043    -0.669    -0.897    -0.563    -0.271     0.422    -0.606    -0.274     0.521    -0.603     0.002     0.000     0.000     0.000     0.061     0.935     0.002     6.000     1.250     72
     1.799     1.595    -2.117    -1.542    -1.346     0.014    -0.034     0.337     0.094     0.474    -0.200     0.602     0.424    -0.185     0.622     0.641     0.002     0.000     0.824     0.000     0.000     0.174     0.000     3.000     0.917     73
    -0.188    -0.344    -0.052     0.475     1.071     0.014     0.976     0.337     1.085     0.474     0.030    -0.038     0.409    -0.175    -0.552     0.230     0.548     0.209     0.175     0.000     0.000     0.000     0.068     1.000     1.373     74
     0.806     1.595     0.981     0.475     2.279     0.982     0.976     0.337     0.094     1.512     0.553     0.626     0.871     0.600     0.629     0.895     0.000     0.934     0.058     0.000     0.000     0.000     0.008     2.000     1.373     75
     0.806     0.625     0.981     0.475     2.279     0.982     0.976     1.343     1.085     1.512     0.585     0.628     0.890     0.600     0.629     0.895     0.000     0.980     0.019     0.000     0.000     0.000     0.000     2.000     1.313     76
     0.806     0.625     0.981    -1.542    -1.346     0.014     0.976    -0.669     0.094     1.512    -0.191     0.482     0.494    -0.185     0.622     0.641     0.112     0.000     0.806     0.000     0.000     0.081     0.000     3.000     1.438     77
     0.806     0.625     0.981     0.475    -0.138     0.982    -0.034     0.337     1.085     1.512     0.270     0.610     0.770     0.600     0.629     0.895     0.010     0.568     0.409     0.000     0.000     0.000     0.012     2.000     1.289     78
    -0.188     0.625    -0.052     1.484     2.279     0.982    -0.034     1.343     0.094     1.512     0.599     0.627     0.890     0.600     0.629     0.895     0.000     0.995     0.001     0.000     0.000     0.000     0.004     2.000     1.784     80
     0.806     0.625     2.013     0.475    -0.138     0.982     0.976     1.343     0.094     0.474     0.469     0.624     0.848     0.600     0.629     0.895     0.002     0.830     0.165     0.000     0.000     0.000     0.003     2.000     1.784     82
